data,tipo_comb,preco_medio,preco_std,preco_min,preco_max,num_postos,lat_medio,lon_medio,ultimo_dolar,variacao_dolar
2022-01-03,ETANOL,5.322093023255814,0.2825393935222642,4.88,6.99,86,-19.505373484848484,-44.32299727272728,5.6818,2.0
2022-01-04,ETANOL,5.33051282051282,0.23215945083084513,4.78,5.99,117,-19.894815168539324,-44.5008904494382,5.677,-0.08
2022-01-05,ETANOL,5.1595172413793104,0.27465465951324625,4.67,5.79,145,-19.534614491525424,-45.781851949152546,5.7087,0.56
2022-01-06,ETANOL,5.242297297297298,0.21400004671166614,4.85,5.89,74,-19.373598837209304,-45.09749279069767,5.6834,-0.44
2022-01-07,ETANOL,5.242297297297298,0.21400004671166614,4.85,5.89,74,-19.373598837209304,-45.09749279069767,5.6834,-0.44
2022-01-10,ETANOL,5.322340425531915,0.26401949069431163,4.78,5.99,94,-19.405934615384613,-43.85891292307693,5.6633,0.49
2022-01-11,ETANOL,5.237586206896552,0.22559574175351366,4.76,5.79,145,-19.76514735042735,-45.05959837606837,5.5686,-1.67
2022-01-12,ETANOL,5.271643835616438,0.19628630530781682,4.69,5.86,146,-20.055213362831857,-44.76818309734513,5.5338,-0.62
2022-01-13,ETANOL,5.171111111111111,0.27473623714391954,4.79,5.98,81,-19.225104629629627,-47.017263888888884,5.5286,-0.09
2022-01-14,ETANOL,5.171111111111111,0.27473623714391954,4.79,5.98,81,-19.225104629629627,-47.017263888888884,5.5286,-0.09
2022-01-17,ETANOL,5.19144385026738,0.264941768408572,4.69,5.99,187,-19.588720657894736,-45.75300953947368,5.5165,-0.32
2022-01-18,ETANOL,5.259345794392523,0.22855687962236457,4.93,5.91,107,-20.070561142857144,-44.13666242857143,5.5666,0.91
2022-01-19,ETANOL,5.259914529914529,0.21869320238594564,4.86,5.89,117,-19.723147065217393,-44.019191195652176,5.4383,-2.3
2022-01-20,ETANOL,5.219242424242425,0.26850188715028317,4.83,5.98,66,-19.383029743589745,-46.84985128205128,5.4191,-0.35
2022-01-21,ETANOL,5.0225,0.3282311902999383,4.75,5.79,8,-18.969836666666666,-49.46045833333333,5.4582,0.72
2022-01-24,ETANOL,5.27503448275862,0.23606179787037349,4.79,5.86,145,-20.182610727272728,-44.67669890909091,5.4877,0.54
2022-01-25,ETANOL,5.214105263157895,0.2874558050650943,4.69,5.89,95,-19.32594487179487,-44.55298641025641,5.4437,-0.8
2022-01-26,ETANOL,5.1040721649484535,0.24998324285488016,4.59,5.79,194,-19.587043375796178,-45.53981656050955,5.4324,-0.21
2022-01-27,ETANOL,5.1068,0.19588043000040312,4.59,5.4,50,-18.280513478260872,-47.57793391304348,5.4065,-0.48
2022-01-28,ETANOL,4.99,0.0,4.99,4.99,1,-19.871368803418804,-45.41716034188034,5.3674,-0.72
2022-01-31,ETANOL,5.089366197183099,0.30637254193563557,4.63,5.89,142,-19.690457685185184,-45.62186388888889,5.3041,-1.18
2022-02-01,ETANOL,5.126976744186046,0.2026141832830116,4.49,5.69,129,-19.821713047619046,-44.29829533333333,5.2655,-0.73
