data,tipo_comb,preco_medio,preco_std,preco_min,preco_max,num_postos,lat_medio,lon_medio,ultimo_dolar,variacao_dolar
2022-01-03,GASOLINA,7.010568181818181,0.18157901262684886,6.69,7.4,88,-19.51066552238806,-44.32724910447761,5.6818,2.0
2022-01-04,GASOLINA,6.944700854700854,0.17877732561607348,6.68,7.39,117,-19.894815168539324,-44.5008904494382,5.677,-0.08
2022-01-05,GASOLINA,6.856875,0.18105544779107074,6.49,7.39,144,-19.534614491525424,-45.781851949152546,5.7087,0.56
2022-01-06,GASOLINA,6.986301369863014,0.20536219256958238,6.64,7.59,73,-19.390810476190477,-45.02377809523809,5.6834,-0.44
2022-01-07,GASOLINA,6.986301369863014,0.20536219256958238,6.64,7.59,73,-19.390810476190477,-45.02377809523809,5.6834,-0.44
2022-01-10,GASOLINA,7.014574468085106,0.16209425701830488,6.74,7.59,94,-19.405934615384613,-43.85891292307693,5.6633,0.49
2022-01-11,GASOLINA,6.918391608391609,0.17522882564674028,6.55,7.41,143,-19.765100260869566,-45.009443999999995,5.5686,-1.67
2022-01-12,GASOLINA,6.936734693877551,0.1950453521736135,5.94,7.42,147,-20.066546000000002,-44.77276469565218,5.5338,-0.62
2022-01-13,GASOLINA,7.025679012345679,0.18658066802059728,6.59,7.59,81,-19.225104629629627,-47.017263888888884,5.5286,-0.09
2022-01-14,GASOLINA,7.025679012345679,0.18658066802059728,6.59,7.59,81,-19.225104629629627,-47.017263888888884,5.5286,-0.09
2022-01-17,GASOLINA,6.9834574468085115,0.20071866414651587,5.94,7.54,188,-19.588720657894736,-45.75300953947368,5.5165,-0.32
2022-01-18,GASOLINA,7.044807692307692,0.18069434992714561,6.73,7.59,104,-20.045520579710146,-44.102153333333334,5.5666,0.91
2022-01-19,GASOLINA,7.01546218487395,0.1614959090585377,6.79,7.49,119,-19.75125574468085,-44.04583010638298,5.4383,-2.3
2022-01-20,GASOLINA,7.032089552238806,0.19246044310953284,6.68,7.53,67,-19.383029743589745,-46.84985128205128,5.4191,-0.35
2022-01-21,GASOLINA,6.895,0.16309506430300102,6.65,7.09,8,-18.969836666666666,-49.46045833333333,5.4582,0.72
2022-01-24,GASOLINA,7.037432432432432,0.18699602244531752,6.59,7.54,148,-20.179264414414416,-44.66308900900901,5.4877,0.54
2022-01-25,GASOLINA,7.057052631578947,0.21623408161414265,6.59,7.69,95,-19.338594999999998,-44.586955,5.4437,-0.8
2022-01-26,GASOLINA,6.928290155440415,0.1704762897629166,6.49,7.49,193,-19.587043375796178,-45.53981656050955,5.4324,-0.21
2022-01-27,GASOLINA,7.0092,0.1994261154167229,6.59,7.44,50,-18.280513478260872,-47.57793391304348,5.4065,-0.48
2022-01-28,GASOLINA,6.99,0.0,6.99,6.99,1,-19.86291,-45.387848135593224,5.3674,-0.72
2022-01-31,GASOLINA,6.980486111111111,0.2145097838286107,6.54,7.52,144,-19.69201256880734,-45.61256119266055,5.3041,-1.18
2022-02-01,GASOLINA,6.953178294573644,0.17187833858632037,6.25,7.37,129,-19.821713047619046,-44.29829533333333,5.2655,-0.73
2022-02-02,GASOLINA,7.016993006993007,0.20242555566073211,6.59,7.59,143,-19.93848688679245,-44.63769339622642,5.262,-0.07
2022-02-03,GASOLINA,7.100357142857143,0.19248578965933874,6.59,7.59,56,-19.65603823529412,-45.12088352941176,5.2839,0.42
2022-02-04,GASOLINA,7.100357142857143,0.19248578965933874,6.59,7.59,56,-19.65603823529412,-45.12088352941176,5.2839,0.42
2022-02-07,GASOLINA,6.957142857142856,0.18564209386070546,6.65,7.52,133,-19.723803551401872,-44.35755355140187,5.2636,-1.21
2022-02-08,GASOLINA,7.027529411764706,0.21222688826074868,6.69,7.52,85,-20.002124912280703,-45.321212807017545,5.2593,-0.08
2022-02-09,GASOLINA,6.921413612565445,0.1899379167906592,6.55,7.48,191,-19.49049269736842,-44.910393618421054,5.2354,-0.45
2022-02-10,GASOLINA,7.0283999999999995,0.23501604315565455,6.59,7.59,75,-20.071661875,-45.58117166666667,5.2496,0.27
2022-02-11,GASOLINA,7.0283999999999995,0.23501604315565455,6.59,7.59,75,-20.071661875,-45.58117166666667,5.2496,0.27
2022-02-14,GASOLINA,6.969316239316239,0.19916951061382132,6.59,7.46,117,-20.151519764705885,-44.31968776470588,5.2149,-0.72
2022-02-15,GASOLINA,6.960886075949366,0.20131739115914052,6.62,7.52,79,-20.22350827586207,-45.155602068965514,5.159,-1.07
2022-02-16,GASOLINA,6.897788944723619,0.21625166707687463,6.45,7.49,199,-19.503576601307188,-45.15397248366013,5.1365,-0.44
2022-02-17,GASOLINA,6.9781818181818185,0.24667231488350988,6.48,7.59,88,-18.79776347826087,-46.26616130434782,5.1718,0.69
2022-02-18,GASOLINA,6.98,0.0,6.98,6.98,1,-20.0761,-44.57882,5.1385,-0.64
2022-02-21,GASOLINA,6.897724137931034,0.1707408075758325,6.48,7.24,145,-19.648125811965812,-44.98671606837607,5.1036,-0.68
2022-02-22,GASOLINA,6.915931034482759,0.19993574159285143,6.48,7.52,145,-20.025331904761906,-45.04718066666666,5.0583,-0.89
2022-02-23,GASOLINA,6.911258741258742,0.2371867604696061,6.49,7.52,143,-19.652266981132076,-45.00379311320755,5.0097,-0.96
2022-02-24,GASOLINA,6.962307692307692,0.23928127558618914,6.45,7.49,65,-18.997587333333335,-46.41586399999999,5.1231,2.26
2022-02-25,GASOLINA,6.962307692307692,0.23928127558618914,6.45,7.49,65,-18.997587333333335,-46.41586399999999,5.1231,2.26
2022-02-28,GASOLINA,7.0018918918918915,0.16066365510078606,6.65,7.59,74,-20.446746666666666,-42.96575974358974,5.1599,-0.05
2022-03-01,GASOLINA,6.834028776978417,0.13111406376361529,6.57,7.17,139,-19.533979160305343,-45.24955473282443,5.1595,-0.01
2022-03-02,GASOLINA,6.952361111111111,0.2272147750511705,6.48,7.59,144,-20.07083840425532,-44.686505319148935,5.0995,-1.16
